Codice ISTAT;Descrizione ISTAT;Ateco description;Codice Completo;Codice Dotless;Codice REA (solo num)
19.10;Fabbricazione di prodotti di cokeria;MANUFACTURE OF COKE OVEN PRODUCTS;C.19.10;C1910;1910
19.10.0;Fabbricazione di prodotti di cokeria;MANUFACTURE OF COKE OVEN PRODUCTS;C.19.10.0;C19100;19100
19.10.01;Fabbricazione di pece e coke di pece;Manufacture of pitch and pitch coke;C.19.10.01;C191001;191001
19.10.09;Fabbricazione di altri prodotti di cokeria;Manufacture of other coke oven products;C.19.10.09;C191009;191009
19.2;FABBRICAZIONE DI PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO;MANUFACTURE OF PRODUCTS DERIVED FROM PETROLEUM REFINING;C.19.2;C192;192
19.20;Fabbricazione di prodotti derivanti dalla raffinazione del petrolio;MANUFACTURE OF PRODUCTS DERIVED FROM PETROLEUM REFINING;C.19.20;C1920;1920
19.20.1;Raffinerie di petrolio;Oil refineries;C.19.20.1;C19201;19201
19.20.10;Raffinerie di petrolio;Oil refineries;C.19.20.10;C192010;192010
19.20.2;Preparazione o miscelazione di derivati del petrolio (esclusa la petrolchimica);Preparation or blending of petroleum derivatives (excluding petrochemicals);C.19.20.2;C19202;19202
19.20.20;Preparazione o miscelazione di derivati del petrolio (esclusa la petrolchimica);Preparation or blending of petroleum derivatives (excluding petrochemicals);C.19.20.20;C192020;192020
19.20.3;Miscelazione di gas petroliferi liquefatti (GPL) e loro imbottigliamento;Blending of liquefied petroleum gases (LPG) and their bottling;C.19.20.3;C19203;19203
19.20.30;Miscelazione di gas petroliferi liquefatti (GPL) e loro imbottigliamento;Blending of liquefied petroleum gases (LPG) and their bottling;C.19.20.30;C192030;192030
19.20.4;Fabbricazione di emulsioni di bitume, di catrame e di leganti per uso stradale;Manufacture of bitumen emulsions, tar and binders for road use;C.19.20.4;C19204;19204
19.20.40;Fabbricazione di emulsioni di bitume, di catrame e di leganti per uso stradale;Manufacture of bitumen emulsions, tar and binders for road use;C.19.20.40;C192040;192040
19.20.9;Fabbricazione di altri prodotti petroliferi raffinati;Manufacture of other refined petroleum products;C.19.20.9;C19209;19209
19.20.90;Fabbricazione di altri prodotti petroliferi raffinati;Manufacture of other refined petroleum products;C.19.20.90;C192090;192090
20;FABBRICAZIONE DI PRODOTTI CHIMICI;MANUFACTURE OF CHEMICAL PRODUCTS;C.20;C20;20
20.1;FABBRICAZIONE DI PRODOTTI CHIMICI DI BASE, DI FERTILIZZANTI E COMPOSTI AZOTATI, DI MATERIE PLASTICHE E GOMMA SINTETICA IN FORME PRIMARIE;MANUFACTURE OF BASIC CHEMICALS, FERTILIZERS AND NITROGEN COMPOUNDS, PLASTICS AND SYNTHETIC RUBBER IN PRIMARY FORMS;C.20.1;C201;201
20.11;Fabbricazione di gas industriali;Manufacturing of industrial gases;C.20.11;C2011;2011
20.11.0;Fabbricazione di gas industriali;Manufacturing of industrial gases;C.20.11.0;C20110;20110
20.11.00;Fabbricazione di gas industriali;Manufacturing of industrial gases;C.20.11.00;C201100;201100
20.12;Fabbricazione di coloranti e pigmenti;Manufacture of dyes and pigments;C.20.12;C2012;2012
20.12.0;Fabbricazione di coloranti e pigmenti;Manufacture of dyes and pigments;C.20.12.0;C20120;20120
20.12.00;Fabbricazione di coloranti e pigmenti;Manufacture of dyes and pigments;C.20.12.00;C201200;201200
20.13;Fabbricazione di altri prodotti chimici di base inorganici;Manufacture of other inorganic basic chemicals;C.20.13;C2013;2013
20.13.0;Fabbricazione di altri prodotti chimici di base inorganici;Manufacture of other inorganic basic chemicals;C.20.13.0;C20130;20130
20.13.01;Fabbricazione di uranio e torio arricchito;Production of enriched uranium and thorium;C.20.13.01;C201301;201301
20.13.09;Fabbricazione di altri prodotti chimici di base inorganici;Manufacture of other inorganic basic chemicals;C.20.13.09;C201309;201309
20.14;Fabbricazione di altri prodotti chimici di base organici;Manufacture of other organic basic chemicals;C.20.14;C2014;2014
20.14.0;Fabbricazione di altri prodotti chimici di base organici;Manufacture of other organic basic chemicals;C.20.14.0;C20140;20140
20.14.01;Fabbricazione di alcol etilico da materiali fermentati;Production of ethyl alcohol from fermented materials;C.20.14.01;C201401;201401
20.14.09;Fabbricazione di altri prodotti chimici di base organici n.c.a.;Manufacture of other organic basic chemicals n.e.c.;C.20.14.09;C201409;201409
20.15;Fabbricazione di fertilizzanti e composti azotati;Manufacture of fertilizers and nitrogen compounds;C.20.15;C2015;2015
20.15.0;Fabbricazione di fertilizzanti e composti azotati (esclusa la fabbricazione di compost);Manufacture of fertilizers and nitrogen compounds (except manufacture of compost);C.20.15.0;C20150;20150
20.15.00;Fabbricazione di fertilizzanti e composti azotati (esclusa la fabbricazione di compost);Manufacture of fertilizers and nitrogen compounds (except manufacture of compost);C.20.15.00;C201500;201500
20.16;Fabbricazione di materie plastiche in forme primarie;Manufacture of plastics in primary forms;C.20.16;C2016;2016
20.16.0;Fabbricazione di materie plastiche in forme primarie;Manufacture of plastics in primary forms;C.20.16.0;C20160;20160
20.16.00;Fabbricazione di materie plastiche in forme primarie;Manufacture of plastics in primary forms;C.20.16.00;C201600;201600
20.17;Fabbricazione di gomma sintetica in forme primarie;Manufacture of synthetic rubber in primary forms;C.20.17;C2017;2017
20.17.0;Fabbricazione di gomma sintetica in forme primarie;Manufacture of synthetic rubber in primary forms;C.20.17.0;C20170;20170
20.17.00;Fabbricazione di gomma sintetica in forme primarie;Manufacture of synthetic rubber in primary forms;C.20.17.00;C201700;201700
20.2;FABBRICAZIONE DI AGROFARMACI E DI ALTRI PRODOTTI CHIMICI PER L'AGRICOLTURA;MANUFACTURE OF CROPPHARMACEUTICALS AND OTHER AGRICULTURAL CHEMICALS;C.20.2;C202;202
20.20;Fabbricazione di agrofarmaci e di altri prodotti chimici per l'agricoltura;MANUFACTURE OF CROPPHARMACEUTICALS AND OTHER AGRICULTURAL CHEMICALS;C.20.20;C2020;2020
20.20.0;Fabbricazione di agrofarmaci e di altri prodotti chimici per l'agricoltura (esclusi i concimi);Manufacture of agrochemicals and other agricultural chemicals (except fertilizers);C.20.20.0;C20200;20200
20.20.00;Fabbricazione di agrofarmaci e di altri prodotti chimici per l'agricoltura (esclusi i concimi);Manufacture of agrochemicals and other agricultural chemicals (except fertilizers);C.20.20.00;C202000;202000
20.3;FABBRICAZIONE DI PITTURE, VERNICI E SMALTI, INCHIOSTRI DA STAMPA E ADESIVI SINTETICI (MASTICI);MANUFACTURE OF PAINTS, VARNISHES AND ENAMELS, PRINTING INKS AND SYNTHETIC ADHESIVES (MASTICS);C.20.3;C203;203
20.30;Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici (mastici);MANUFACTURE OF PAINTS, VARNISHES AND ENAMELS, PRINTING INKS AND SYNTHETIC ADHESIVES (MASTICS);C.20.30;C2030;2030
20.30.0;Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici (mastici);MANUFACTURE OF PAINTS, VARNISHES AND ENAMELS, PRINTING INKS AND SYNTHETIC ADHESIVES (MASTICS);C.20.30.0;C20300;20300
20.30.00;Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici (mastici);MANUFACTURE OF PAINTS, VARNISHES AND ENAMELS, PRINTING INKS AND SYNTHETIC ADHESIVES (MASTICS);C.20.30.00;C203000;203000
20.4;FABBRICAZIONE DI SAPONI E DETERGENTI, DI PRODOTTI PER LA PULIZIA E LA LUCIDATURA, DI PROFUMI E COSMETICI;MANUFACTURE OF SOAPS AND DETERGENTS, CLEANING AND POLISHING PRODUCTS, PERFUMES AND COSMETICS;C.20.4;C204;204
20.41;Fabbricazione di saponi e detergenti, di prodotti per la pulizia e la lucidatura;Manufacture of soaps and detergents, cleaning and polishing products;C.20.41;C2041;2041
20.41.1;Fabbricazione di saponi, detergenti e di agenti organici tensioattivi (esclusi i prodotti per toletta);Manufacture of soap, detergents and organic surface-active agents (except toilet preparations);C.20.41.1;C20411;20411
20.41.10;Fabbricazione di saponi, detergenti e di agenti organici tensioattivi (esclusi i prodotti per toletta);Manufacture of soap, detergents and organic surface-active agents (except toilet preparations);C.20.41.10;C204110;204110
20.41.2;Fabbricazione di specialità chimiche per uso domestico e per manutenzione;Manufacture of specialty chemicals for household and maintenance use;C.20.41.2;C20412;20412
20.41.20;Fabbricazione di specialità chimiche per uso domestico e per manutenzione;Manufacture of specialty chemicals for household and maintenance use;C.20.41.20;C204120;204120
20.42;Fabbricazione di profumi e cosmetici;Manufacture of perfumes and cosmetics;C.20.42;C2042;2042
20.42.0;Fabbricazione di prodotti per toletta: profumi, cosmetici, saponi e simili;Manufacture of toilet preparations: perfumes, cosmetics, soaps and the like;C.20.42.0;C20420;20420
20.42.00;Fabbricazione di prodotti per toletta: profumi, cosmetici, saponi e simili;Manufacture of toilet preparations: perfumes, cosmetics, soaps and the like;C.20.42.00;C204200;204200
20.5;FABBRICAZIONE DI ALTRI PRODOTTI CHIMICI;MANUFACTURE OF OTHER CHEMICAL PRODUCTS;C.20.5;C205;205
20.51;Fabbricazione di esplosivi;Manufacturing of explosives;C.20.51;C2051;2051
20.51.0;Fabbricazione di esplosivi;Manufacturing of explosives;C.20.51.0;C20510;20510
20.51.01;Fabbricazione di fiammiferi;Match making;C.20.51.01;C205101;205101
20.51.02;Fabbricazione di articoli esplosivi;Manufacture of explosive articles;C.20.51.02;C205102;205102
20.52;Fabbricazione di colle;Manufacturing of glues;C.20.52;C2052;2052
20.52.0;Fabbricazione di colle;Manufacturing of glues;C.20.52.0;C20520;20520
20.52.00;Fabbricazione di colle;Manufacturing of glues;C.20.52.00;C205200;205200
20.53;Fabbricazione di oli essenziali;Manufacture of essential oils;C.20.53;C2053;2053
20.53.0;Fabbricazione di oli essenziali;Manufacture of essential oils;C.20.53.0;C20530;20530
20.53.00;Fabbricazione di oli essenziali;Manufacture of essential oils;C.20.53.00;C205300;205300
20.59;Fabbricazione di prodotti chimici n.c.a.;Manufacture of chemical products n.e.c.;C.20.59;C2059;2059
20.59.1;Fabbricazione di prodotti chimici per uso fotografico;Manufacture of chemicals for photographic use;C.20.59.1;C20591;20591
20.59.10;Fabbricazione di prodotti chimici per uso fotografico;Manufacture of chemicals for photographic use;C.20.59.10;C205910;205910
20.59.2;Fabbricazione di prodotti chimici organici ottenuti da prodotti di base derivati da processi di fermentazione o da materie prime vegetali;Manufacture of organic chemicals from basic products derived from fermentation processes or from plant raw materials;C.20.59.2;C20592;20592
20.59.20;Fabbricazione di prodotti chimici organici ottenuti da prodotti di base derivati da processi di fermentazione o da materie prime vegetali;Manufacture of organic chemicals from basic products derived from fermentation processes or from plant raw materials;C.20.59.20;C205920;205920
20.59.3;Trattamento chimico degli acidi grassi;Chemical treatment of fatty acids;C.20.59.3;C20593;20593
20.59.30;Trattamento chimico degli acidi grassi;Chemical treatment of fatty acids;C.20.59.30;C205930;205930
20.59.4;Fabbricazione di prodotti chimici vari per uso industriale (inclusi i preparati antidetonanti e antigelo);Manufacture of various chemicals for industrial use (including anti-knock and antifreeze preparations);C.20.59.4;C20594;20594
20.59.40;Fabbricazione di prodotti chimici vari per uso industriale (inclusi i preparati antidetonanti e antigelo);Manufacture of various chemicals for industrial use (including anti-knock and antifreeze preparations);C.20.59.40;C205940;205940
20.59.5;Fabbricazione di prodotti chimici impiegati per ufficio e per il consumo non industriale;Manufacture of chemical products used for office and non-industrial consumption;C.20.59.5;C20595;20595
20.59.50;Fabbricazione di prodotti chimici impiegati per ufficio e per il consumo non industriale;Manufacture of chemical products used for office and non-industrial consumption;C.20.59.50;C205950;205950
20.59.6;Fabbricazione di prodotti ausiliari per le industrie tessili e del cuoio;Manufacture of auxiliary products for the textile and leather industries;C.20.59.6;C20596;20596
20.59.60;Fabbricazione di prodotti ausiliari per le industrie tessili e del cuoio;Manufacture of auxiliary products for the textile and leather industries;C.20.59.60;C205960;205960
20.59.7;Fabbricazione di prodotti elettrochimici (esclusa produzione di cloro, soda e potassa) ed elettrotermici;Manufacture of electrochemical products (except production of chlorine, soda and potash) and electrothermal products;C.20.59.7;C20597;20597
20.59.70;Fabbricazione di prodotti elettrochimici (esclusa produzione di cloro, soda e potassa) ed elettrotermici;Manufacture of electrochemical products (except production of chlorine, soda and potash) and electrothermal products;C.20.59.70;C205970;205970
20.59.9;Fabbricazione di altri prodotti chimici n.c.a.;Manufacture of other chemical products n.e.c.;C.20.59.9;C20599;20599
20.59.90;Fabbricazione di altri prodotti chimici n.c.a.;Manufacture of other chemical products n.e.c.;C.20.59.90;C205990;205990
20.6;FABBRICAZIONE DI FIBRE SINTETICHE E ARTIFICIALI;MANUFACTURE OF SYNTHETIC AND ARTIFICIAL FIBERS;C.20.6;C206;206
20.60;Fabbricazione di fibre sintetiche e artificiali;MANUFACTURE OF SYNTHETIC AND ARTIFICIAL FIBERS;C.20.60;C2060;2060
20.60.0;Fabbricazione di fibre sintetiche e artificiali;MANUFACTURE OF SYNTHETIC AND ARTIFICIAL FIBERS;C.20.60.0;C20600;20600
20.60.00;Fabbricazione di fibre sintetiche e artificiali;MANUFACTURE OF SYNTHETIC AND ARTIFICIAL FIBERS;C.20.60.00;C206000;206000
21;FABBRICAZIONE DI PRODOTTI FARMACEUTICI DI BASE E DI PREPARATI FARMACEUTICI;MANUFACTURE OF BASIC PHARMACEUTICAL PRODUCTS AND PHARMACEUTICAL PREPARATIONS;C.21;C21;21
21.1;FABBRICAZIONE DI PRODOTTI FARMACEUTICI DI BASE;MANUFACTURE OF BASIC PHARMACEUTICAL PRODUCTS;C.21.1;C211;211
21.10;Fabbricazione di prodotti farmaceutici di base;MANUFACTURE OF BASIC PHARMACEUTICAL PRODUCTS;C.21.10;C2110;2110
21.10.0;Fabbricazione di prodotti farmaceutici di base;MANUFACTURE OF BASIC PHARMACEUTICAL PRODUCTS;C.21.10.0;C21100;21100
21.10.00;Fabbricazione di prodotti farmaceutici di base;MANUFACTURE OF BASIC PHARMACEUTICAL PRODUCTS;C.21.10.00;C211000;211000
21.2;FABBRICAZIONE DI MEDICINALI E PREPARATI FARMACEUTICI;MANUFACTURE OF MEDICINES AND PHARMACEUTICAL PREPARATIONS;C.21.2;C212;212
21.20;Fabbricazione di medicinali e preparati farmaceutici;MANUFACTURE OF MEDICINES AND PHARMACEUTICAL PREPARATIONS;C.21.20;C2120;2120
21.20.0;Fabbricazione di medicinali e preparati farmaceutici;MANUFACTURE OF MEDICINES AND PHARMACEUTICAL PREPARATIONS;C.21.20.0;C21200;21200
21.20.01;Fabbricazione di sostanze diagnostiche radioattive in vivo;Manufacture of in vivo radioactive diagnostic substances;C.21.20.01;C212001;212001
21.20.09;Fabbricazione di medicinali ed altri preparati farmaceutici;Manufacture of medicines and other pharmaceutical preparations;C.21.20.09;C212009;212009
22;FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE;MANUFACTURE OF RUBBER AND PLASTIC PRODUCTS;C.22;C22;22
22.1;FABBRICAZIONE DI ARTICOLI IN GOMMA;MANUFACTURE OF RUBBER PRODUCTS;C.22.1;C221;221
22.11;"Fabbricazione di pneumatici e camere d'aria; rigenerazione e ricostruzione di pneumatici";"Manufacturing of tires and inner tubes; retreading and rebuilding of tires";C.22.11;C2211;2211
22.11.1;Fabbricazione di pneumatici e di camere d'aria;Manufacture of tires and inner tubes;C.22.11.1;C22111;22111
22.11.10;Fabbricazione di pneumatici e di camere d'aria;Manufacture of tires and inner tubes;C.22.11.10;C221110;221110
22.11.2;Rigenerazione e ricostruzione di pneumatici;Tire retreading and rebuilding;C.22.11.2;C22112;22112
22.11.20;Rigenerazione e ricostruzione di pneumatici;Tire retreading and rebuilding;C.22.11.20;C221120;221120
22.19;Fabbricazione di altri prodotti in gomma;Manufacture of other rubber products;C.22.19;C2219;2219
22.19.0;Fabbricazione di altri prodotti in gomma;Manufacture of other rubber products;C.22.19.0;C22190;22190
22.19.01;Fabbricazione di suole di gomma e altre parti in gomma per calzature;Manufacture of rubber soles and other rubber parts for footwear;C.22.19.01;C221901;221901
22.19.09;Fabbricazione di altri prodotti in gomma n.c.a.;Manufacture of other rubber products n.e.c.;C.22.19.09;C221909;221909
22.2;FABBRICAZIONE DI ARTICOLI IN MATERIE PLASTICHE;MANUFACTURE OF PLASTIC PRODUCTS;C.22.2;C222;222
22.21;Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche;Manufacture of plastic plates, sheets, tubes and profiles;C.22.21;C2221;2221
22.21.0;Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche;Manufacture of plastic plates, sheets, tubes and profiles;C.22.21.0;C22210;22210
22.21.00;Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche;Manufacture of plastic plates, sheets, tubes and profiles;C.22.21.00;C222100;222100
22.22;Fabbricazione di imballaggi in materie plastiche;Manufacture of plastic packaging;C.22.22;C2222;2222
22.22.0;Fabbricazione di imballaggi in materie plastiche;Manufacture of plastic packaging;C.22.22.0;C22220;22220
22.22.00;Fabbricazione di imballaggi in materie plastiche;Manufacture of plastic packaging;C.22.22.00;C222200;222200
22.23;Fabbricazione di articoli in plastica per l'edilizia;Manufacture of plastic articles for construction;C.22.23;C2223;2223
22.23.0;Fabbricazione di articoli in plastica per l'edilizia;Manufacture of plastic articles for construction;C.22.23.0;C22230;22230
22.23.01;Fabbricazione di rivestimenti elastici per pavimenti (vinile, linoleum eccetera);Manufacture of elastic floor coverings (vinyl, linoleum, etc.);C.22.23.01;C222301;222301
22.23.02;Fabbricazione di porte, finestre, intelaiature eccetera in plastica per l'edilizia;Manufacture of plastic doors, windows, frames, etc. for construction;C.22.23.02;C222302;222302
22.23.09;Fabbricazione di altri articoli in plastica per l'edilizia;Manufacture of other plastic articles for construction;C.22.23.09;C222309;222309
22.29;Fabbricazione di altri articoli in materie plastiche;Manufacture of other plastic articles;C.22.29;C2229;2229
22.29.0;Fabbricazione di altri articoli in materie plastiche;Manufacture of other plastic articles;C.22.29.0;C22290;22290
22.29.01;Fabbricazione di parti in plastica per calzature;Manufacturing of plastic parts for footwear;C.22.29.01;C222901;222901
22.29.02;Fabbricazione di oggetti per l'ufficio e la scuola in plastica;Manufacturing of plastic office and school items;C.22.29.02;C222902;222902
22.29.09;Fabbricazione di altri articoli in materie plastiche n.c.a.;Manufacture of other plastic products n.e.c.;C.22.29.09;C222909;222909
23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS;C.23;C23;23
23.1;FABBRICAZIONE DI VETRO E DI PRODOTTI IN VETRO;MANUFACTURE OF GLASS AND GLASS PRODUCTS;C.23.1;C231;231
23.11;Fabbricazione di vetro piano;Flat glass manufacturing;C.23.11;C2311;2311
23.11.0;Fabbricazione di vetro piano;Flat glass manufacturing;C.23.11.0;C23110;23110
23.11.00;Fabbricazione di vetro piano;Flat glass manufacturing;C.23.11.00;C231100;231100
23.12;Lavorazione e trasformazione del vetro piano;Processing and transformation of flat glass;C.23.12;C2312;2312
23.12.0;Lavorazione e trasformazione del vetro piano;Processing and transformation of flat glass;C.23.12.0;C23120;23120
23.12.00;Lavorazione e trasformazione del vetro piano;Processing and transformation of flat glass;C.23.12.00;C231200;231200
23.13;Fabbricazione di vetro cavo;Hollow glass manufacturing;C.23.13;C2313;2313
23.13.0;Fabbricazione di vetro cavo;Hollow glass manufacturing;C.23.13.0;C23130;23130
23.13.00;Fabbricazione di vetro cavo;Hollow glass manufacturing;C.23.13.00;C231300;231300
23.14;Fabbricazione di fibre di vetro;Glass fiber manufacturing;C.23.14;C2314;2314
23.14.0;Fabbricazione di fibre di vetro;Glass fiber manufacturing;C.23.14.0;C23140;23140
23.14.00;Fabbricazione di fibre di vetro;Glass fiber manufacturing;C.23.14.00;C231400;231400
23.19;Fabbricazione e lavorazione di altro vetro (incluso vetro per usi tecnici), lavorazione di vetro cavo;Manufacture and processing of other glass (including glass for technical purposes), processing of hollow glass;C.23.19;C2319;2319
23.19.1;Fabbricazione di vetrerie per laboratori, per uso igienico, per farmacia;Manufacture of glassware for laboratories, hygiene and pharmaceutical use;C.23.19.1;C23191;23191
23.19.10;Fabbricazione di vetrerie per laboratori, per uso igienico, per farmacia;Manufacture of glassware for laboratories, hygiene and pharmaceutical use;C.23.19.10;C231910;231910
23.19.2;Lavorazione di vetro a mano e a soffio artistico;Hand and artistic glass blowing;C.23.19.2;C23192;23192
23.19.20;Lavorazione di vetro a mano e a soffio artistico;Hand and artistic glass blowing;C.23.19.20;C231920;231920
23.19.9;Fabbricazione di altri prodotti in vetro (inclusa la vetreria tecnica);Manufacture of other glass products (including technical glassware);C.23.19.9;C23199;23199
23.19.90;Fabbricazione di altri prodotti in vetro (inclusa la vetreria tecnica);Manufacture of other glass products (including technical glassware);C.23.19.90;C231990;231990
23.2;FABBRICAZIONE DI PRODOTTI REFRATTARI;MANUFACTURE OF REFRACTORY PRODUCTS;C.23.2;C232;232
23.20;Fabbricazione di prodotti refrattari;MANUFACTURE OF REFRACTORY PRODUCTS;C.23.20;C2320;2320
23.20.0;Fabbricazione di prodotti refrattari;MANUFACTURE OF REFRACTORY PRODUCTS;C.23.20.0;C23200;23200
23.20.00;Fabbricazione di prodotti refrattari;MANUFACTURE OF REFRACTORY PRODUCTS;C.23.20.00;C232000;232000
23.3;FABBRICAZIONE DI MATERIALI DA COSTRUZIONE IN TERRACOTTA;MANUFACTURE OF TERRACOTTA BUILDING MATERIALS;C.23.3;C233;233
23.31;Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti;Manufacture of ceramic floor and wall tiles;C.23.31;C2331;2331
23.31.0;Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti;Manufacture of ceramic floor and wall tiles;C.23.31.0;C23310;23310
23.31.00;Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti;Manufacture of ceramic floor and wall tiles;C.23.31.00;C233100;233100
23.32;Fabbricazione di mattoni, tegole ed altri prodotti per l'edilizia in terracotta;Manufacture of bricks, tiles and other terracotta building products;C.23.32;C2332;2332
23.32.0;Fabbricazione di mattoni, tegole ed altri prodotti per l'edilizia in terracotta;Manufacture of bricks, tiles and other terracotta building products;C.23.32.0;C23320;23320
23.32.00;Fabbricazione di mattoni, tegole ed altri prodotti per l'edilizia in terracotta;Manufacture of bricks, tiles and other terracotta building products;C.23.32.00;C233200;233200
23.4;FABBRICAZIONE DI ALTRI PRODOTTI IN PORCELLANA E IN CERAMICA;MANUFACTURE OF OTHER PORCELAIN AND CERAMIC PRODUCTS;C.23.4;C234;234
23.41;Fabbricazione di prodotti in ceramica per usi domestici e ornamentali;Manufacture of ceramic products for household and ornamental purposes;C.23.41;C2341;2341
23.41.0;Fabbricazione di prodotti in ceramica per usi domestici e ornamentali;Manufacture of ceramic products for household and ornamental purposes;C.23.41.0;C23410;23410
23.41.00;Fabbricazione di prodotti in ceramica per usi domestici e ornamentali;Manufacture of ceramic products for household and ornamental purposes;C.23.41.00;C234100;234100
23.42;Fabbricazione di articoli sanitari in ceramica;Manufacture of ceramic sanitary ware;C.23.42;C2342;2342
23.42.0;Fabbricazione di articoli sanitari in ceramica;Manufacture of ceramic sanitary ware;C.23.42.0;C23420;23420
23.42.00;Fabbricazione di articoli sanitari in ceramica;Manufacture of ceramic sanitary ware;C.23.42.00;C234200;234200
23.43;Fabbricazione di isolatori e di pezzi isolanti in ceramica;Manufacture of ceramic insulators and insulating parts;C.23.43;C2343;2343
23.43.0;Fabbricazione di isolatori e di pezzi isolanti in ceramica;Manufacture of ceramic insulators and insulating parts;C.23.43.0;C23430;23430
23.43.00;Fabbricazione di isolatori e di pezzi isolanti in ceramica;Manufacture of ceramic insulators and insulating parts;C.23.43.00;C234300;234300
23.44;Fabbricazione di altri prodotti in ceramica per uso tecnico e industriale;Manufacture of other ceramic products for technical and industrial use;C.23.44;C2344;2344
23.44.0;Fabbricazione di altri prodotti in ceramica per uso tecnico e industriale;Manufacture of other ceramic products for technical and industrial use;C.23.44.0;C23440;23440
23.44.00;Fabbricazione di altri prodotti in ceramica per uso tecnico e industriale;Manufacture of other ceramic products for technical and industrial use;C.23.44.00;C234400;234400
23.49;Fabbricazione di altri prodotti in ceramica;Manufacture of other ceramic products;C.23.49;C2349;2349
23.49.0;Fabbricazione di altri prodotti in ceramica;Manufacture of other ceramic products;C.23.49.0;C23490;23490
23.49.00;Fabbricazione di altri prodotti in ceramica;Manufacture of other ceramic products;C.23.49.00;C234900;234900
23.5;PRODUZIONE DI CEMENTO, CALCE E GESSO;PRODUCTION OF CEMENT, LIME AND PLASTER;C.23.5;C235;235
23.51;Produzione di cemento;Cement production;C.23.51;C2351;2351
23.51.0;Produzione di cemento;Cement production;C.23.51.0;C23510;23510
23.51.00;Produzione di cemento;Cement production;C.23.51.00;C235100;235100
23.52;Produzione di calce e gesso;Lime and plaster production;C.23.52;C2352;2352
23.52.1;Produzione di calce;Lime production;C.23.52.1;C23521;23521
23.52.10;Produzione di calce;Lime production;C.23.52.10;C235210;235210
23.52.2;Produzione di gesso;Gypsum production;C.23.52.2;C23522;23522
23.52.20;Produzione di gesso;Gypsum production;C.23.52.20;C235220;235220
23.6;FABBRICAZIONE DI PRODOTTI IN CALCESTRUZZO, CEMENTO E GESSO;MANUFACTURE OF CONCRETE, CEMENT AND PLASTER PRODUCTS;C.23.6;C236;236
23.61;Fabbricazione di prodotti in calcestruzzo per l'edilizia;Manufacture of concrete products for construction;C.23.61;C2361;2361
23.61.0;Fabbricazione di prodotti in calcestruzzo per l'edilizia;Manufacture of concrete products for construction;C.23.61.0;C23610;23610
23.61.00;Fabbricazione di prodotti in calcestruzzo per l'edilizia;Manufacture of concrete products for construction;C.23.61.00;C236100;236100
23.62;Fabbricazione di prodotti in gesso per l'edilizia;Manufacture of plaster products for construction;C.23.62;C2362;2362
23.62.0;Fabbricazione di prodotti in gesso per l'edilizia;Manufacture of plaster products for construction;C.23.62.0;C23620;23620
23.62.00;Fabbricazione di prodotti in gesso per l'edilizia;Manufacture of plaster products for construction;C.23.62.00;C236200;236200
23.63;Produzione di calcestruzzo pronto per l'uso;Production of ready-mix concrete;C.23.63;C2363;2363
23.63.0;Produzione di calcestruzzo pronto per l'uso;Production of ready-mix concrete;C.23.63.0;C23630;23630
23.63.00;Produzione di calcestruzzo pronto per l'uso;Production of ready-mix concrete;C.23.63.00;C236300;236300
23.64;Produzione di malta;Mortar production;C.23.64;C2364;2364
23.64.0;Produzione di malta;Mortar production;C.23.64.0;C23640;23640
23.64.00;Produzione di malta;Mortar production;C.23.64.00;C236400;236400
23.65;Fabbricazione di prodotti in fibrocemento;Manufacture of fiber cement products;C.23.65;C2365;2365
23.65.0;Fabbricazione di prodotti in fibrocemento;Manufacture of fiber cement products;C.23.65.0;C23650;23650
23.65.00;Fabbricazione di prodotti in fibrocemento;Manufacture of fiber cement products;C.23.65.00;C236500;236500
23.69;Fabbricazione di altri prodotti in calcestruzzo, gesso e cemento;Manufacture of other concrete, plaster and cement products;C.23.69;C2369;2369
23.69.0;Fabbricazione di altri prodotti in calcestruzzo, gesso e cemento;Manufacture of other concrete, plaster and cement products;C.23.69.0;C23690;23690
23.69.00;Fabbricazione di altri prodotti in calcestruzzo, gesso e cemento;Manufacture of other concrete, plaster and cement products;C.23.69.00;C236900;236900
23.7;TAGLIO, MODELLATURA E FINITURA DI PIETRE;STONE CUTTING, SHAPING AND FINISHING;C.23.7;C237;237
23.70;Taglio, modellatura e finitura di pietre;STONE CUTTING, SHAPING AND FINISHING;C.23.70;C2370;2370
23.70.1;Segagione e lavorazione delle pietre e del marmo;Sawing and processing of stone and marble;C.23.70.1;C23701;23701
